state,total_population,total_surveyed,below_poverty_level,pct_below,above_poverty_level,state_fips
Alabama,5028092,4890427,768897,0.15722492125943194,4121530,01
Alaska,734821,717293,75227,0.10487625001219864,642066,02
Arizona,7172282,7017776,916876,0.13065050808119266,6100900,04
Arkansas,3018669,2931377,475729,0.16228857632436905,2455648,05
California,39356104,38643585,4685272,0.12124320246167637,33958313,06
Colorado,5770790,5653289,540105,0.09553819024642116,5113184,08
Connecticut,3611317,3507563,355692,0.10140715932971126,3151871,09
Delaware,993635,969075,107790,0.11122978097670459,861285,10
District of Columbia,670587,649184,98039,0.15101881746931534,551145,11
Florida,21634529,21171700,2725633,0.12873944935928622,18446067,12
Georgia,10722325,10462430,1415573,0.13530059460373928,9046857,13
Hawaii,1450589,1414636,135941,0.09609609821890579,1278695,15
Idaho,1854109,1805238,198788,0.1101173363290602,1606450,16
Illinois,12757634,12478664,1467893,0.11763222409065587,11010771,17
Indiana,6784403,6589135,810702,0.1230361800145239,5778433,18
Iowa,3188836,3088999,343141,0.11108485305433896,2745858,19
Kansas,2935922,2848334,329870,0.11581155861637013,2518464,20
Kentucky,4502935,4372749,704758,0.16117046736503743,3667991,21
Louisiana,4640546,4513793,842038,0.18654776592546446,3671755,22
Maine,1366949,1329454,145491,0.10943665595048795,1183963,23
Maryland,6161707,6034320,558567,0.09256502803961342,5475753,24
Massachusetts,6984205,6772292,672361,0.09928115917033702,6099931,25
Michigan,10057921,9845242,1293164,0.1313491329111057,8552078,26
Minnesota,5695292,5574039,516284,0.09262296155444912,5057755,27
Mississippi,2958846,2858819,548804,0.19196878151432462,2310015,28
Missouri,6154422,5979440,766582,0.128202975529481,5212858,29
Montana,1091840,1066145,132329,0.12411913951666988,933816,30
Nebraska,1958939,1908613,198466,0.10398441171678072,1710147,31
Nevada,3104817,3063729,389456,0.1271182927732838,2674273,32
New Hampshire,1379610,1340074,98162,0.07325117866625276,1241912,33
New Jersey,9249063,9081112,879179,0.09681402453796407,8201933,34
New Mexico,2112463,2070966,378651,0.18283786406923147,1692315,35
New York,19994379,19516967,2655662,0.1360694005374913,16861305,36
North Carolina,10470214,10186155,1357418,0.13326107839513535,8828737,37
North Dakota,776874,750776,80810,0.10763530000959008,669966,38
Ohio,11774683,11472644,1526507,0.13305625102635452,9946137,39
Oklahoma,3970497,3847702,585991,0.15229635767011063,3261711,40
Oregon,4229374,4149034,494158,0.11910194035527306,3654876,41
Pennsylvania,12989208,12582125,1482439,0.11782103579482799,11099686,42
Rhode Island,1094250,1051789,118033,0.11222117744148304,933756,44
South Carolina,5142750,5002332,717849,0.14350287026131012,4284483,45
South Dakota,890342,860878,105542,0.12259809171566703,755336,46
Tennessee,6923772,6759549,943583,0.13959259708007146,5815966,47
Texas,29243342,28615931,3990326,0.13944421378427282,24625605,48
Utah,3283809,3231630,275188,0.0851545504900004,2956442,49
Vermont,643816,620877,64739,0.10427024998510172,556138,50
Virginia,8624511,8379773,836686,0.09984590274700758,7543087,51
Washington,7688549,7553642,747538,0.0989639170085106,6806104,53
West Virginia,1792967,1736883,291860,0.16803664956131184,1445023,54
Wisconsin,5882128,5743164,611661,0.10650244360077477,5131503,55
Wyoming,577929,564105,60134,0.10660072149688445,503971,56
,3272382,3242916,1368360,0.4219535751157292,1874556,72
